metric,speed_scale,distribution,probability_plot_r2,aic,shape_sigma,scale_exp_mu
position,0.5,lognormal,0.9965336165809767,-160891.40037103562,0.7983189891302627,0.07159718061845435
position,1.0,lognormal,0.9870700276142471,-91000.94875574739,0.9357705729241763,0.09238520115781074
orientation,0.5,lognormal,0.9923951393075795,-393891.4644752629,0.7249982422203141,0.009754298364661957
orientation,1.0,lognormal,0.9956954270461748,-291600.65553098515,0.7874283793251818,0.011357184611590264
