position_tolerance_mm,required_reliability,position_maximum_speed_scale,position_reliability_at_limit,position_status,orientation_tolerance_deg,orientation_maximum_speed_scale,orientation_reliability_at_limit,orientation_status,recommended_speed_scale,limiting_metric
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.01,,0.5136863211465097,not_feasible_at_0.5,,not_feasible
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.02,,0.839005949271906,not_feasible_at_0.5,,not_feasible
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.03,,0.9393865334747701,not_feasible_at_0.5,,not_feasible
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.04,0.9262,0.9500043366308581,feasible,0.9262,orientation
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.05,1.0,0.9701020096208589,feasible,1.0,position
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.06,1.0,0.9827353374798454,feasible,1.0,position
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.07,1.0,0.9895448489969836,feasible,1.0,position
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.08,1.0,0.9934157442226398,feasible,1.0,position
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.09,1.0,0.9957151414344101,feasible,1.0,position
0.6000000000000001,0.95,1.0,0.9772164816079696,feasible,0.1,1.0,0.9971325156620111,feasible,1.0,position
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.01,,0.5136863211465097,not_feasible_at_0.5,,not_feasible
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.02,,0.839005949271906,not_feasible_at_0.5,,not_feasible
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.03,,0.9393865334747701,not_feasible_at_0.5,,not_feasible
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.04,0.9262,0.9500043366308581,feasible,0.9262,orientation
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.05,1.0,0.9701020096208589,feasible,1.0,position
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.06,1.0,0.9827353374798454,feasible,1.0,position
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.07,1.0,0.9895448489969836,feasible,1.0,position
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.08,1.0,0.9934157442226398,feasible,1.0,position
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.09,1.0,0.9957151414344101,feasible,1.0,position
0.7000000000000001,0.95,1.0,0.9847721719666291,feasible,0.1,1.0,0.9971325156620111,feasible,1.0,position
0.8,0.95,1.0,0.9894672929494654,feasible,0.01,,0.5136863211465097,not_feasible_at_0.5,,not_feasible
0.8,0.95,1.0,0.9894672929494654,feasible,0.02,,0.839005949271906,not_feasible_at_0.5,,not_feasible
0.8,0.95,1.0,0.9894672929494654,feasible,0.03,,0.9393865334747701,not_feasible_at_0.5,,not_feasible
0.8,0.95,1.0,0.9894672929494654,feasible,0.04,0.9262,0.9500043366308581,feasible,0.9262,orientation
0.8,0.95,1.0,0.9894672929494654,feasible,0.05,1.0,0.9701020096208589,feasible,1.0,position
0.8,0.95,1.0,0.9894672929494654,feasible,0.06,1.0,0.9827353374798454,feasible,1.0,position
