metric,tolerance,required_reliability,payload_model,maximum_speed_scale,reliability_at_limit,status
position,1.0,0.99,pooled,1.0,0.9945403315469853,feasible
position,1.0,0.99,1.6 lb,1.0,0.9951700351831325,feasible
position,1.0,0.99,4.5 lb,1.0,0.9938856302599071,feasible
orientation,0.01,0.9,pooled,,0.5136863211465097,not_feasible_at_0.5
orientation,0.01,0.9,1.6 lb,,0.5727708859188879,not_feasible_at_0.5
orientation,0.01,0.9,4.5 lb,,0.46466513272895954,not_feasible_at_0.5
orientation,0.02,0.9,pooled,,0.839005949271906,not_feasible_at_0.5
orientation,0.02,0.9,1.6 lb,,0.8786490085973719,not_feasible_at_0.5
orientation,0.02,0.9,4.5 lb,,0.8050003893204261,not_feasible_at_0.5
orientation,0.03,0.9,pooled,0.9152,0.9000030493797869,feasible
orientation,0.03,0.9,1.6 lb,1.0,0.906106220318986,feasible
orientation,0.03,0.9,4.5 lb,0.7424,0.9000030077954043,feasible
orientation,0.04,0.9,pooled,1.0,0.9450799524232577,feasible
orientation,0.04,0.9,1.6 lb,1.0,0.9555081765824942,feasible
orientation,0.04,0.9,4.5 lb,1.0,0.9341597719437487,feasible
orientation,0.05,0.9,pooled,1.0,0.9701020096208589,feasible
orientation,0.05,0.9,1.6 lb,1.0,0.9771606872405236,feasible
orientation,0.05,0.9,4.5 lb,1.0,0.9623243652479065,feasible
orientation,0.06,0.9,pooled,1.0,0.9827353374798454,feasible
orientation,0.06,0.9,1.6 lb,1.0,0.9875025406105502,feasible
orientation,0.06,0.9,4.5 lb,1.0,0.9772277160696397,feasible
orientation,0.07,0.9,pooled,1.0,0.9895448489969836,feasible
orientation,0.07,0.9,1.6 lb,1.0,0.9927983570454844,feasible
orientation,0.07,0.9,4.5 lb,1.0,0.9856167127980542,feasible
orientation,0.08,0.9,pooled,1.0,0.9934157442226398,feasible
orientation,0.08,0.9,1.6 lb,1.0,0.9956689816284652,feasible
orientation,0.08,0.9,4.5 lb,1.0,0.9905811542113496,feasible
orientation,0.09,0.9,pooled,1.0,0.9957151414344101,feasible
orientation,0.09,0.9,1.6 lb,1.0,0.9973002373920319,feasible
