file_name,speed_scale,payload_lb,replicate,metric,sample_count,mean,median,p95,p99
ur5testresult_fullspeed_payload1.6lb_1.csv,1.0,1.6,1,position,8663,0.14085091001221128,0.08177891555774461,0.4441338135842576,0.5921681556061816
ur5testresult_fullspeed_payload1.6lb_1.csv,1.0,1.6,1,orientation,8663,0.014674767256983736,0.010684633397960034,0.03973742091383814,0.056947655621134664
ur5testresult_fullspeed_payload1.6lb_2.csv,1.0,1.6,2,position,6793,0.13736781499738498,0.07905078959996728,0.44093510886174464,0.6292742425003154
ur5testresult_fullspeed_payload1.6lb_2.csv,1.0,1.6,2,orientation,6793,0.014407245851677158,0.010232018922624058,0.03990358046588145,0.05819593242151614
ur5testresult_fullspeed_payload1.6lb_3.csv,1.0,1.6,3,position,6980,0.14985851721258087,0.08496067594378698,0.4690324021417025,0.6541612108914341
ur5testresult_fullspeed_payload1.6lb_3.csv,1.0,1.6,3,orientation,6980,0.015322377397793893,0.010756089193893554,0.04269248597896602,0.06370686769649768
ur5testresult_fullspeed_payload4.5lb_1.csv,1.0,4.5,1,position,6933,0.1357478115947489,0.07862530067054965,0.43135397404999926,0.6284609544969568
ur5testresult_fullspeed_payload4.5lb_1.csv,1.0,4.5,1,orientation,6933,0.015291964730712423,0.01060324601971098,0.04131176982741431,0.060173782584154074
ur5testresult_fullspeed_payload4.5lb_2.csv,1.0,4.5,2,position,6487,0.14678254490551398,0.08868981965658213,0.46891955871113017,0.6199227960951984
ur5testresult_fullspeed_payload4.5lb_2.csv,1.0,4.5,2,orientation,6487,0.015593387435008906,0.011623489606026528,0.04122216071558772,0.055906079747883475
ur5testresult_fullspeed_payload4.5lb_3.csv,1.0,4.5,3,position,8354,0.14193385221158977,0.08938575072713092,0.4465923714050522,0.6261457167078666
ur5testresult_fullspeed_payload4.5lb_3.csv,1.0,4.5,3,orientation,8354,0.016637475195934476,0.011885239528983335,0.04564856627145189,0.06564245336974467
ur5testresult_halfspeed_payload1.6lb_1.csv,0.5,1.6,1,position,7906,0.09658490689546938,0.07112728065602147,0.2712911661255692,0.3710503780301937
ur5testresult_halfspeed_payload1.6lb_1.csv,0.5,1.6,1,orientation,7906,0.011372934405589731,0.009135983342806766,0.026424445735384362,0.03834799069488771
ur5testresult_halfspeed_payload1.6lb_2.csv,0.5,1.6,2,position,7441,0.08565141459857073,0.06606341737545826,0.23354719116530492,0.3272485172948357
ur5testresult_halfspeed_payload1.6lb_2.csv,0.5,1.6,2,orientation,7441,0.010575141806364484,0.008724521531435556,0.025078734002198795,0.03594531810034619
ur5testresult_halfspeed_payload1.6lb_3.csv,0.5,1.6,3,position,10440,0.09439761868658801,0.07037762811029194,0.2605861007064557,0.34346717345239003
ur5testresult_halfspeed_payload1.6lb_3.csv,0.5,1.6,3,orientation,10440,0.011091797572282368,0.009241660878716678,0.025797242465142683,0.03572352929780606
ur5testresult_halfspeed_payload4.5lb_1.csv,0.5,4.5,1,position,10186,0.10258249088757987,0.07472058392365004,0.28845236540413244,0.39445610579354234
ur5testresult_halfspeed_payload4.5lb_1.csv,0.5,4.5,1,orientation,10186,0.013662644777998154,0.010926401861809706,0.03294768261141322,0.04571539719396801
ur5testresult_halfspeed_payload4.5lb_2.csv,0.5,4.5,2,position,9893,0.10169120036504782,0.07526714208555685,0.2684652271197639,0.3865151752155111
ur5testresult_halfspeed_payload4.5lb_2.csv,0.5,4.5,2,orientation,9893,0.0138523197073138,0.011241993432668618,0.03208485963185549,0.0458229055022764
ur5testresult_halfspeed_payload4.5lb_3.csv,0.5,4.5,3,position,9884,0.09792454779050856,0.07511132969730229,0.2549810061562533,0.3629896859983528
ur5testresult_halfspeed_payload4.5lb_3.csv,0.5,4.5,3,orientation,9884,0.013584310721191976,0.010971570124062602,0.03126798485419839,0.04250760191667559
