metric,speed_scale,payload_lb,run_count,mean_of_run_means,mean_of_run_medians,mean_of_run_p95,mean_of_run_p99
orientation,0.5,1.6,3,0.011013291261412194,0.009034055250986333,0.025766807400908615,0.03667227936434665
orientation,0.5,4.5,3,0.013699758402167977,0.011046655139513641,0.0321001756991557,0.044681968204306664
orientation,1.0,1.6,3,0.014801463502151597,0.010557580504825881,0.04077782911956187,0.05961681857971616
orientation,1.0,4.5,3,0.01584094245388527,0.011370658384906947,0.04272749893815131,0.0605741052339274
position,0.5,1.6,3,0.09221131339354272,0.06918944204725723,0.25514148599910996,0.3472553562591398
position,0.5,4.5,3,0.10073274634771208,0.07503301856883639,0.27063286622671656,0.3813203223358021
position,1.0,1.6,3,0.14269241407405905,0.08193012703383296,0.4513671081959016,0.6252012029993104
position,1.0,4.5,3,0.14148806957061755,0.08556695701808757,0.44895530138872725,0.6248431557666739
